RZERO,PPM,DATE
1926.52,792.69,2019-03-31 01:31:21
1926.52,792.69,2019-03-31 01:31:22
1926.52,792.69,2019-03-31 01:31:23
1926.52,792.69,2019-03-31 01:31:24
1926.52,792.69,2019-03-31 01:31:25
1926.52,792.69,2019-03-31 01:31:26
1926.52,792.69,2019-03-31 01:31:27
1926.52,792.69,2019-03-31 01:31:28
1926.52,792.69,2019-03-31 01:31:29
1926.52,792.69,2019-03-31 01:31:30
1926.52,792.69,2019-03-31 01:31:31
1926.52,792.69,2019-03-31 01:31:32
1926.52,792.69,2019-03-31 01:31:33
1926.52,792.69,2019-03-31 01:31:34
1926.52,792.69,2019-03-31 01:31:35
1926.52,792.69,2019-03-31 01:31:36
1926.52,792.69,2019-03-31 01:31:37
1926.52,792.69,2019-03-31 01:31:38
1926.52,792.69,2019-03-31 01:31:39
1926.52,792.69,2019-03-31 01:31:40
1926.52,792.69,2019-03-31 01:31:41
1926.52,792.69,2019-03-31 01:31:42
1926.52,792.69,2019-03-31 01:31:43
1975.07,792.69,2019-03-31 01:31:44
1926.52,792.69,2019-03-31 01:31:45
1926.52,792.69,2019-03-31 01:31:46
1926.52,792.69,2019-03-31 01:31:47
1975.07,792.69,2019-03-31 01:31:48
1975.07,792.69,2019-03-31 01:31:49
1926.52,792.69,2019-03-31 01:31:50
1926.52,792.69,2019-03-31 01:31:51
1975.07,792.69,2019-03-31 01:31:52
1975.07,792.69,2019-03-31 01:31:53
1975.07,792.69,2019-03-31 01:31:54
1926.52,792.69,2019-03-31 01:31:55
1975.07,792.69,2019-03-31 01:31:56
1926.52,792.69,2019-03-31 01:31:57
1975.07,792.69,2019-03-31 01:31:58
1975.07,792.69,2019-03-31 01:31:59
1975.07,792.69,2019-03-31 01:32:00
1975.07,792.69,2019-03-31 01:32:01
1975.07,792.69,2019-03-31 01:32:02
1975.07,792.69,2019-03-31 01:32:03
1975.07,792.69,2019-03-31 01:32:04
1975.07,792.69,2019-03-31 01:32:05
1975.07,739.90,2019-03-31 01:32:06
1975.07,792.69,2019-03-31 01:32:07
1975.07,792.69,2019-03-31 01:32:08
1975.07,739.90,2019-03-31 01:32:09
1975.07,739.90,2019-03-31 01:32:10
1975.07,739.90,2019-03-31 01:32:11
1975.07,792.69,2019-03-31 01:32:12
1975.07,792.69,2019-03-31 01:32:13
1975.07,739.90,2019-03-31 01:32:14
1975.07,792.69,2019-03-31 01:32:15
1975.07,792.69,2019-03-31 01:32:16
1975.07,739.90,2019-03-31 01:32:17
1975.07,739.90,2019-03-31 01:32:18
1975.07,739.90,2019-03-31 01:32:19
1975.07,739.90,2019-03-31 01:32:20
1975.07,739.90,2019-03-31 01:32:21
1975.07,739.90,2019-03-31 01:32:22
1975.07,739.90,2019-03-31 01:32:23
1975.07,739.90,2019-03-31 01:32:24
1975.07,739.90,2019-03-31 01:32:25
1975.07,739.90,2019-03-31 01:32:26
1975.07,739.90,2019-03-31 01:32:27
1975.07,739.90,2019-03-31 01:32:28
1975.07,739.90,2019-03-31 01:32:29
1975.07,739.90,2019-03-31 01:32:30
1975.07,739.90,2019-03-31 01:32:31
1975.07,739.90,2019-03-31 01:32:32
1975.07,739.90,2019-03-31 01:32:33
1975.07,739.90,2019-03-31 01:32:34
1975.07,739.90,2019-03-31 01:32:35
1975.07,739.90,2019-03-31 01:32:36
1975.07,739.90,2019-03-31 01:32:37
1975.07,739.90,2019-03-31 01:32:38
1975.07,739.90,2019-03-31 01:32:39
1975.07,739.90,2019-03-31 01:32:40
1975.07,739.90,2019-03-31 01:32:41
1975.07,739.90,2019-03-31 01:32:42
1975.07,739.90,2019-03-31 01:32:43
1975.07,739.90,2019-03-31 01:32:44
1975.07,739.90,2019-03-31 01:32:45
1975.07,739.90,2019-03-31 01:32:46
1975.07,739.90,2019-03-31 01:32:47
1975.07,739.90,2019-03-31 01:32:48
1975.07,739.90,2019-03-31 01:32:49
1975.07,739.90,2019-03-31 01:32:50
1975.07,739.90,2019-03-31 01:32:51
1975.07,739.90,2019-03-31 01:32:52
1975.07,739.90,2019-03-31 01:32:53
1975.07,739.90,2019-03-31 01:32:54
1975.07,739.90,2019-03-31 01:32:55
1975.07,739.90,2019-03-31 01:32:56
1975.07,739.90,2019-03-31 01:32:57
1975.07,792.69,2019-03-31 01:32:58
1975.07,739.90,2019-03-31 01:32:59
1975.07,739.90,2019-03-31 01:33:00
1975.07,739.90,2019-03-31 01:33:01
1975.07,739.90,2019-03-31 01:33:02
1975.07,739.90,2019-03-31 01:33:03
1975.07,739.90,2019-03-31 01:33:04
1975.07,792.69,2019-03-31 01:33:05
1975.07,739.90,2019-03-31 01:33:06
1975.07,792.69,2019-03-31 01:33:07
1975.07,792.69,2019-03-31 01:33:08
1975.07,792.69,2019-03-31 01:33:09
1926.52,792.69,2019-03-31 01:33:10
1926.52,792.69,2019-03-31 01:33:11
1926.52,847.86,2019-03-31 01:33:12
1880.28,847.86,2019-03-31 01:33:13
1880.28,847.86,2019-03-31 01:33:14
1880.28,847.86,2019-03-31 01:33:15
1880.28,847.86,2019-03-31 01:33:16
1880.28,847.86,2019-03-31 01:33:17
1880.28,847.86,2019-03-31 01:33:18
1926.52,847.86,2019-03-31 01:33:19
1926.52,792.69,2019-03-31 01:33:20
1926.52,792.69,2019-03-31 01:33:21
1926.52,792.69,2019-03-31 01:33:22
1926.52,792.69,2019-03-31 01:33:23
1926.52,792.69,2019-03-31 01:33:24
1926.52,792.69,2019-03-31 01:33:25
1926.52,792.69,2019-03-31 01:33:26
1926.52,792.69,2019-03-31 01:33:27
1926.52,792.69,2019-03-31 01:33:28
1926.52,792.69,2019-03-31 01:33:29
1926.52,792.69,2019-03-31 01:33:30
1926.52,792.69,2019-03-31 01:33:31
1926.52,792.69,2019-03-31 01:33:32
1926.52,792.69,2019-03-31 01:33:33
1926.52,792.69,2019-03-31 01:33:34
1926.52,792.69,2019-03-31 01:33:35
1926.52,792.69,2019-03-31 01:33:36
1926.52,792.69,2019-03-31 01:33:37
1926.52,792.69,2019-03-31 01:33:38
1926.52,792.69,2019-03-31 01:33:39
1926.52,792.69,2019-03-31 01:33:40
1926.52,792.69,2019-03-31 01:33:41
1926.52,792.69,2019-03-31 01:33:42
1926.52,792.69,2019-03-31 01:33:43
1926.52,792.69,2019-03-31 01:33:44
1926.52,792.69,2019-03-31 01:33:45
1926.52,792.69,2019-03-31 01:33:46
1926.52,792.69,2019-03-31 01:33:47
1926.52,792.69,2019-03-31 01:33:48
1926.52,792.69,2019-03-31 01:33:49
1926.52,792.69,2019-03-31 01:33:50
1926.52,847.86,2019-03-31 01:33:51
1880.28,847.86,2019-03-31 01:33:52
1880.28,847.86,2019-03-31 01:33:53
1880.28,847.86,2019-03-31 01:33:54
1880.28,905.43,2019-03-31 01:33:55
1836.19,905.43,2019-03-31 01:33:56
1836.19,905.43,2019-03-31 01:33:57
1836.19,905.43,2019-03-31 01:33:58
1836.19,905.43,2019-03-31 01:33:59
1836.19,905.43,2019-03-31 01:34:00
1880.28,905.43,2019-03-31 01:34:01
1880.28,847.86,2019-03-31 01:34:02
1880.28,847.86,2019-03-31 01:34:03
1880.28,847.86,2019-03-31 01:34:04
1880.28,847.86,2019-03-31 01:34:05
1880.28,847.86,2019-03-31 01:34:06
